SampleN,SumTS
A1_1_5,6.12953897
A1_1_6,9.2906143
A1_1_7,8.70437705
A1_1_8,3.78437703
A1_1_9,10.7154596
A1_1_10,8.89120817
A1_1_11,6.32845457
A1_1_12,7.54643674
A1_1_13,3.59501882
A1_1_14,4.48556404
A1_1_15,13.4620922
A1_2_5,7.89563974
A1_2_7,14.1591278
A1_2_8,9.63754416
A1_2_9,5.04564786
A1_2_10,10.5454431
A1_2_11,11.0847348
A1_2_12,10.7952651
A1_2_13,5.7962708
A1_2_14,7.74037653
A1_2_15,5.46909972
A1_3_3,6.23947766
A1_3_5,7.24609158
A1_3_6,10.2084263
A1_3_7,9.90580186
A1_3_8,17.8071906
A1_3_9,4.70883865
A1_3_10,4.02240725
A1_3_11,4.08367461
A1_3_12,7.22422965
A1_3_13,5.00796233
A1_3_14,6.82875902
A1_3_15,3.47156001
A1_4_1,7.37012367
A1_4_2,12.907508
A1_4_3,15.0815699
A1_4_5,4.04718574
A1_4_6,6.41438498
A1_4_7,15.4278473
A1_4_8,11.813027
A1_4_9,9.3748222
A1_4_10,8.8521317
A1_4_11,5.54630047
A1_4_12,8.8863263
A1_4_13,10.821524
A1_4_14,8.98383235
A1_4_15,14.5179675
A2_1_1,8.63561063
A2_1_3,5.20072162
A2_1_4,3.42978411
A2_1_5,4.68252791
A2_1_6,14.3922317
A2_1_7,5.15391004
A2_1_8,9.31390025
A2_1_9,2.52111707
A2_1_10,6.2654502
A2_1_11,5.0314173
A2_1_12,9.15003471
A2_1_14,4.40338309
A2_1_15,4.28305784
A2_2_5,3.59956276
A2_2_6,3.67175536
A2_2_7,5.87284298
A2_2_8,4.73170575
A2_2_9,7.20263991
A2_2_10,4.22274933
A2_2_11,6.40604933
A2_2_12,4.55281768
A2_2_13,5.69708636
A2_2_14,5.785083
A2_2_15,6.96029029
A2_3_1,11.1553562
A2_3_4,10.1387645
A2_3_5,5.70933502
A2_3_6,4.93086006
A2_3_7,11.1689683
A2_3_8,8.65291963
A2_3_9,5.91388446
A2_3_10,1.50115556
A2_3_11,2.69239932
A2_3_12,18.4061108
A2_3_13,10.8818458
A2_3_14,10.2193982
A2_3_15,9.22936651
A3_1_4,4.49855648
A3_1_5,8.62403927
A3_1_6,8.43381684
A3_1_7,3.91028568
A3_1_8,5.5455326
A3_1_9,6.64494442
A3_1_10,7.51144827
A3_1_11,14.0538438
A3_1_12,6.71343546
A3_1_13,6.25402875
A3_1_14,8.02713565
A3_1_15,7.05582551
A3_2_1,8.85572304
A3_2_2,8.40736587
A3_2_5,6.36538686
A3_2_6,15.540286
A3_2_7,7.56958564
A3_2_8,6.36115135
A3_2_9,13.2495414
A3_2_10,4.33328152
A3_2_11,6.56621801
A3_2_12,3.69677213
A3_2_13,6.30232157
A3_2_14,11.414092
A3_2_15,5.29310059
A3_3_2,4.09674206
A3_3_5,5.2714414
A3_3_6,3.88028085
A3_3_7,8.55818376
A3_3_8,6.45109927
A3_3_9,3.58956517
A3_3_10,5.98206333
A3_3_11,4.50307087
A3_3_12,3.80522044
A3_3_13,8.43595922
A3_3_14,4.24431618
A3_3_15,7.47977887
A5_1_1,9.07404803
A5_1_2,13.1951828
A5_1_3,11.8516862
A5_1_4,12.131657
A5_1_5,18.7645276
A5_1_6,21.4486654
A5_1_7,14.898623
A5_1_8,17.1878259
A5_1_9,3.12917722
A5_1_10,6.82570885
A5_1_11,14.9494809
A5_1_12,12.3400376
A5_1_13,7.59879261
A5_1_14,8.89757047
A5_1_15,9.26392582
A5_1_16,14.9150658
A5_1_13d,8.56641583
A5_1_14d,11.5411993
A5_2_1,11.5534482
A5_2_2,14.0181308
A5_2_3,14.3742917
A5_2_4,13.7902942
A5_2_5,13.8006457
A5_2_6,15.9131394
A5_2_7,9.52888762
A5_2_8,12.3230494
A5_2_9,10.2371666
A5_2_10,10.5598095
A5_2_11,2.64643363
A5_2_12,12.8053526
A5_2_13,9.17975548
A5_2_14,15.323941
A5_2_15,14.6181507
A5_2_16,11.4306093
A5_3_4,13.1229181
A5_3_5,5.89808975
A5_3_6,8.17340101
A5_3_7,11.2357642
A5_3_8,6.71893528
A5_3_9,14.8336788
A5_3_10,7.89675979
A5_3_11,9.28840264
A5_3_12,11.5495939
A5_3_13,11.0298568
A5_3_14,13.2416985
A5_3_15,10.8381637
B3_1_6,1.0154581
B3_1_7,1.14023282
B3_1_8,0.94787888
B3_1_9,1.49296155
B3_1_10,1.58529708
B3_1_11,1.98900487
B3_1_12,1.93724039
B3_1_13,1.1756118
B3_1_14,1.96029139
B3_2_5,3.0177288
B3_2_6,4.36629786
B3_2_7,3.06934659
B3_2_8,4.43310655
B3_2_9,5.54839835
B3_2_10,3.57391581
B3_2_11,4.69591199
B3_2_13,3.39249889
B3_2_14,4.46871695
B3_2_15,7.89368061
B3_3_5,0.69650165
B3_3_6,1.17551942
B3_3_7,2.51494815
B3_3_8,0.45407133
B3_3_9,0.8273304
B3_3_10,0.86805331
B3_3_11,1.13340464
B3_3_13,0.51373908
B3_3_15,0.23996605
C1_1_1,9.28917591
C1_1_2,18.1656021
C1_1_3,13.3148562
C1_1_4,5.48009605
C1_1_5,14.2906471
C1_1_6,6.55533934
C1_1_7,7.73165642
C1_1_8,3.16567685
C1_1_9,3.88428563
C1_1_10,9.92776122
C1_1_11,15.1166877
C1_1_12,11.6129034
C1_1_13,8.44888142
C1_1_14,5.17560108
C1_1_15,9.26339787
C1_2_1,10.7044857
C1_2_2,6.13841237
C1_2_3,3.73709508
C1_2_4,5.51472793
C1_2_5,3.46969329
C1_2_6,1.32017311
C1_2_7,8.9922877
C1_2_8,4.31284145
C1_2_9,7.39142619
C1_2_10,4.46507626
C1_2_11,5.66848097
C1_2_12,3.20702526
C1_2_13,10.3059194
C1_2_14,0.56000093
C1_2_15,5.18236306
C1_3_1,0.29673571
C1_3_2,1.84663183
C1_3_3,0.93398731
C1_3_4,0.59626432
C1_3_5,0.41726575
C1_3_6,0.59047946
C1_3_7,1.71318651
C1_3_8,0.50795346
C1_3_9,6.03187482
C1_3_10,0.62284484
C1_3_11,1.38036505
C1_3_12,2.23891639
C1_3_13,2.61995987
C1_3_14,1.51622875
C1_3_15,1.5520063
C3_1_1,0.75690167
C3_1_2,2.26219127
C3_1_3,2.77016987
C3_1_4,3.36959591
C3_1_5,4.03425261
C3_1_6,4.93372907
C3_1_7,4.61698535
C3_1_8,2.31304111
C3_1_9,1.26271653
C3_1_10,2.15336363
C3_1_11,5.32812908
C3_1_12,2.15011473
C3_1_13,2.8191988
C3_1_14,1.70121196
C3_1_15,2.17286812
C3_2_1,1.52207055
C3_2_2,1.25912625
C3_2_3,8.03108721
C3_2_4,2.23672063
C3_2_5,2.73053043
C3_2_6,7.26687573
C3_2_7,5.63871692
C3_2_8,1.95857049
C3_2_9,6.05822439
C3_2_10,7.5636624
C3_2_11,7.10651794
C3_2_12,1.72277832
C3_2_13,2.29496137
C3_2_14,7.19838632
C3_2_15,1.91185046
C3_3_1,3.34782893
C3_3_2,5.08807029
C3_3_3,1.65727255
C3_3_4,11.3495064
C3_3_5,9.12385778
C3_3_6,3.33441405
C3_3_7,1.40825369
C3_3_8,8.02947917
C3_3_9,3.4909486
C3_3_10,11.6099775
C3_3_12,8.33619249
C3_3_13,5.14429551
C3_3_14,12.1021853
C3_3_15,6.80823859
D1_1_1,3.09074293
D1_1_8,1.52138023
D1_1_9,2.72126498
D1_1_11,3.12807097
D2_1_1,0.65341443
D2_1_2,0.60383613
D2_1_3,0.47987713
D2_1_4,0.66220949
D2_1_5,0.44207692
D2_1_6,1.80361269
D2_1_7,1.57654778
D2_1_8,0.80089519
D2_1_9,0.65425885
D2_1_10,0.85140201
D2_1_11,1.72878365
D2_1_12,2.24601036
D2_1_13,1.67423555
D2_1_14,2.75630899
D2_1_15,2.49807364
D2_2_1,1.4200936
D2_2_2,1.5323692
D2_2_3,1.50317172
D2_2_4,1.47309498
D2_2_5,2.45955994
D2_2_6,2.92013651
D2_2_7,1.18911426
D2_2_8,1.30773091
D2_2_9,0.88994066
D2_2_10,2.50306224
D2_2_11,1.56808546
D2_2_12,3.32594368
D2_2_13,3.01611147
D2_2_15,1.69486375
D2_3_1,2.08147617
D2_3_2,1.07558705
D2_3_3,1.55189725
D2_3_5,1.32805053
D2_3_6,2.54088759
D2_3_7,2.06873179
D2_3_8,3.15215381
D2_3_9,3.14769871
D2_3_10,2.69951074
D2_3_11,2.09414755
D2_3_12,2.58460343
D2_3_13,3.27699339
D2_3_14,1.6355821
D2_3_15,5.45810878
E6_1_5,2.27213762
E6_1_6,2.54840314
E6_1_7,4.32821903
E6_1_8,1.19641036
E6_1_9,3.92951746
E6_1_10,6.02009035
E6_1_11,3.35163018
E6_1_12,4.18089096
E6_1_13,2.5704992
E6_1_14,3.26890852
E6_1_15,3.91415984
E6_2_5,19.0540675
E6_2_6,14.4963765
E6_2_7,5.40881632
E6_2_8,17.4383453
E6_2_9,8.96830379
E6_2_10,5.1858526
E6_2_11,16.4319692
E6_2_12,8.67977539
E6_2_13,13.9920023
E6_2_14,17.3927396
E6_2_15,15.3950345
E6_2_16,1.5181785
E7_1_5,5.72107581
E7_1_6,5.43271814
E7_1_7,11.2438111
E7_1_8,14.1728544
E7_1_9,6.73847658
E7_1_10,8.81256465
E7_1_11,6.87017432
E7_1_12,4.56409357
E7_1_13,8.08756718
E7_1_14,2.29500721
E7_1_15,16.4390904
E8_1_5,2.96926041
E8_1_6,1.51328592
E8_1_7,10.9567105
E8_1_8,4.66316004
E8_1_9,1.58708779
E8_1_10,2.45889122
E8_1_11,7.06227158
E8_1_12,2.96737829
E8_1_13,3.12595191
E8_1_14,3.96478647
E8_1_15,3.55238622
F1_1_6,5.58425242
F1_1_7,0.37251712
F1_1_8,2.919461
F1_1_9,10.4654534
F1_1_10,6.8343158
F1_1_11,2.67242294
F1_1_12,3.94672949
F1_1_13,2.31724857
F1_1_14,4.58188453
F1_1_15,3.55414971
F1_2_5,5.46914739
F1_2_6,2.91730113
F1_2_7,6.51534097
F1_2_8,4.61811753
F1_2_9,5.35252904
F1_2_10,4.52771354
F1_2_11,3.44456462
F1_2_12,8.89802932
F1_2_13,5.69708347
F1_2_14,4.25619949
F1_2_15,4.47511946
F1_3_5,3.49588824
F1_3_6,0.77031341
F1_3_8,5.16608004
F1_3_9,2.52852792
F1_3_10,3.58456848
F1_3_11,1.27443951
F1_3_12,3.52095429
F1_3_13,1.10890514
F1_3_15,4.31210979
F1_4_5,0.03287184
F1_4_6,1.12070081
F1_4_7,0.0778711
F1_4_8,0.96500381
F1_4_9,1.15279307
F1_4_10,0.75182725
F1_4_11,2.0575597
F1_4_12,1.94481763
F1_4_13,0.06863557
F1_4_14,0.10296875
F1_4_15,3.77758759
F1_5_5,1.21353812
F1_5_6,3.55637864
F1_5_7,3.22682961
F1_5_8,4.34331092
F1_5_9,4.14791374
F1_5_10,1.60019752
F1_5_11,2.5223805
F1_5_12,4.05911244
F1_5_13,1.60911948
F1_5_14,2.80896524
F1_5_15,4.53753096
F4_1_5,1.34620929
F4_1_6,1.15578807
F4_1_7,0.15492265
F4_1_8,1.24257502
F4_1_9,1.23118989
F4_1_10,1.24302666
F4_1_11,1.15685076
F4_1_12,3.80345308
F4_1_13,0.95282115
F4_1_14,1.10200971
F4_1_15,0.57206052
F4_2_1,1.93645899
F4_2_5,1.22373487
F4_2_6,0.92634659
F4_2_7,0.7998467
F4_2_8,0.83589292
F4_2_9,2.6395929
F4_2_10,1.05706905
F4_2_11,0.89443681
F4_2_12,1.02997322
F4_2_13,1.1408148
F4_2_14,0.64833324
F4_2_15,0.80313876
Z1_1_5,3.77168863
Z1_1_6,5.03223922
Z1_1_7,0.76094019
Z1_1_9,4.43764244
Z1_1_11,3.0814277
Z1_1_12,2.33566698
Z1_1_13,1.91269051
Z1_1_14,2.92627147
Z1_1_15,2.9354537
Z1_2_6,2.75958693
Z1_2_7,5.6682473
Z1_2_8,1.02735104
Z1_2_9,2.1969899
Z1_2_10,0.80757404
Z1_2_11,6.07724915
Z1_2_12,2.85721262
Z1_2_13,2.41929069
Z1_2_14,3.22872605
Z1_2_15,4.90295357
Z1_3_1,3.4702404
Z1_3_2,4.13733194
Z1_3_3,1.26805424
Z1_3_4,1.7833545
Z1_3_5,2.24106387
Z1_3_6,1.73955472
Z1_3_7,1.31875441
Z1_3_8,9.19573539
Z1_3_9,3.23435605
Z1_3_10,4.99914053
Z1_3_11,4.34578113
Z1_3_12,1.33003317
Z1_3_13,0.88871221
Z1_3_14,4.43006247
Z1_3_15,1.68499488
Z1_4_5,7.97781793
Z1_4_6,12.7339757
Z1_4_7,6.8835105
Z1_4_8,10.7015336
Z1_4_9,10.283748
Z1_4_10,6.90396357
Z1_4_11,7.26325114
Z1_4_12,10.0816608
Z1_4_13,8.33662316
Z1_4_14,6.40584489
Z1_4_15,5.79162483
